,osm_id,highway,permlanes,lit,maxspeed,name,oneway,length,freespeed,modes,pav,obst,cross,x_start,y_start,x_end,y_end,capacity,id,inf,geometry,from1,to1
4886,169130597,secondary,2,yes,,Βασιλίσσης Σοφίας,0,14.262,60.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,0: without pedestrian crossings,477838.5579,4202922.448,477838.5579,4202931.697,1200.0,4887,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477849.4060239481 4202922.448283599, 477838.5579481485 4202931.697689337)",999.0,999.0
4887,169130598,secondary,3,yes,,Βασιλέως Αλεξάνδρου,0,12.086,50.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,477901.2069,4202793.272,477901.2069,4202804.854,1200.0,4888,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477904.64504291845 4202793.272354031, 477901.2069080415 4202804.854001361)",999.0,999.0
4888,169130599,primary,3,yes,,Βασιλέως Κωνσταντίνου,0,13.067,40.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,477828.6545,4202931.697,477828.6545,4202923.181,1200.0,4889,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477838.5579481485 4202931.697689337, 477828.6544988763 4202923.180950659)",999.0,999.0
4889,169130600,primary,3,yes,,Βασιλέως Κωνσταντίνου,0,15.488,40.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,477674.0435,4202800.275,477674.0435,4202790.177,1200.0,4890,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477685.77833811636 4202800.275674024, 477674.0434526908 4202790.177454262)",999.0,999.0
4890,169130600,primary,3,yes,,Βασιλέως Κωνσταντίνου,0,102.193,40.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,2: with pedestrian crossing controlled by traffic lights,477596.5996,4202790.177,477596.5996,4202723.56,1200.0,4891,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477674.0434526908 4202790.177454262, 477596.59959299536 4202723.560674403)",999.0,999.0
4891,169130603,primary,3,yes,,Βασιλίσσης Σοφίας,0,32.208,60.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,2: with pedestrian crossing controlled by traffic lights,477874.2371,4202922.448,477857.5218,4202942.941,1200.0,4892,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477849.4060239481 4202922.448283599, 477857.5218068939 4202929.194602527, 477874.23706163635 4202942.941157162)",999.0,999.0
4892,169130608,primary,3,yes,,Βασιλέως Κωνσταντίνου,0,9.316,40.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,477694.681,4202783.317,477694.681,4202789.389,1200.0,4893,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477687.6206893943 4202783.317026177, 477694.6809780045 4202789.389229564)",999.0,999.0
4893,169130609,primary,3,yes,,Βασιλέως Κωνσταντίνου,0,117.391,40.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,477693.5077,4202883.451,477702.7512,4202806.923,1200.0,4894,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477782.4645174988 4202883.451051581, 477702.7511585327 4202814.875521302, 477697.3635272054 4202810.241172161, 477693.5076658332 4202806.923020175)",999.0,999.0
4894,169130609,primary,3,yes,,Βασιλέως Κωνσταντίνου,0,10.199,40.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,2: with pedestrian crossing controlled by traffic lights,477685.7783,4202806.923,477685.7783,4202800.275,1200.0,4895,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477693.5076658332 4202806.923020175, 477685.77833811636 4202800.275674024)",999.0,999.0
4895,169130612,tertiary,2,,,Ευφρονίου,0,16.53,30.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,478121.0147,4202503.239,478115.4747,4202500.832,1200.0,4896,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (478104.6669327201 4202503.239047884, 478115.474741998 4202501.645881601, 478121.0147416808 4202500.832299299)",999.0,999.0
